0.01,4.88,122,14,9,46,44,9
0.02,4.68,117,16,7,44,44,6
0.03,4.64,116,19,8,45,42,2
0.04,4.40,110,17,8,41,41,3
0.05,4.36,109,13,8,42,42,4
0.06,4.36,109,15,9,42,39,4
0.07,4.20,105,13,7,41,39,5
0.08,3.96,99,12,7,39,36,5
0.09,4.08,102,15,7,40,35,5
0.10,4.16,104,16,8,38,37,5
0.11,4.12,103,14,8,39,37,5
0.12,4.32,108,15,9,41,38,5
0.13,4.44,111,15,10,41,40,5
0.14,4.52,113,16,10,41,40,6
0.15,4.60,115,16,10,41,41,7
0.16,4.60,115,16,9,42,42,6
0.17,4.60,115,16,9,42,42,6
0.18,4.80,120,17,9,43,45,6
0.19,4.88,122,17,9,44,46,6
0.20,4.92,123,18,9,44,46,6
0.21,5.04,126,18,8,46,46,8
0.22,5.16,129,18,10,47,46,8
0.23,5.20,130,18,10,47,46,9
0.24,5.16,129,18,10,46,46,9
0.25,5.20,130,18,10,46,47,9
0.26,5.32,133,18,10,49,47,9
0.27,5.24,131,18,9,48,47,9
0.28,5.48,137,18,9,52,48,10
0.29,5.52,138,18,8,53,49,10
0.30,5.60,140,18,8,54,50,10
0.31,5.56,139,18,8,53,50,10
0.32,5.64,141,18,8,55,50,10
0.33,5.68,142,18,8,56,50,10
0.34,5.68,142,18,8,56,50,10
0.35,5.76,144,18,8,58,50,10
0.36,5.80,145,18,8,58,51,10
0.37,5.96,149,19,8,58,52,12
0.38,6.04,151,19,8,59,53,12
0.39,6.08,152,19,8,60,53,12
0.40,6.16,154,20,8,60,54,12
0.41,6.36,159,21,8,62,56,12
0.42,6.36,159,22,8,62,55,12
0.43,6.48,162,22,7,65,56,12
0.44,6.56,164,24,7,64,56,13
0.45,6.68,167,24,7,68,55,13
0.46,6.92,173,24,7,72,56,14
0.47,6.92,173,24,7,71,57,14
0.48,7.00,175,24,7,72,58,14
0.49,7.08,177,24,7,73,59,14
0.50,7.16,179,24,7,75,58,15
0.51,7.32,183,25,7,77,59,15
0.52,7.48,187,25,7,81,59,15
0.53,7.48,187,25,7,81,59,15
0.54,7.52,188,25,7,81,60,15
0.55,7.64,191,27,7,82,60,15
0.56,7.80,195,28,7,84,61,15
0.57,7.88,197,29,7,84,62,15
0.58,8.00,200,30,7,85,63,15
0.59,8.32,208,31,7,88,64,18
0.60,8.52,213,32,7,91,65,18
0.61,8.80,220,32,7,96,65,20
0.62,8.80,220,32,7,95,66,20
0.63,8.92,223,32,7,97,67,20
0.64,8.96,224,33,7,97,67,20
0.65,9.08,227,34,7,98,67,21
0.66,9.28,232,36,7,101,67,21
0.67,9.36,234,39,7,101,66,21
0.68,9.56,239,41,6,103,66,23
0.69,9.80,245,44,6,104,68,23
0.70,9.88,247,44,6,106,68,23
0.71,10.00,250,45,6,106,69,24
0.72,10.24,256,48,6,108,70,24
0.73,10.48,262,49,6,112,70,25
0.74,10.60,265,49,6,114,71,25
0.75,10.80,270,50,6,118,71,25
0.76,10.92,273,50,6,121,71,25
0.77,10.96,274,50,6,121,71,26
0.78,11.08,277,50,5,124,72,26
0.79,11.20,280,50,5,125,73,27
0.80,11.36,284,50,5,126,76,27
0.81,11.44,286,50,5,128,76,27
0.82,11.56,289,53,5,128,76,27
0.83,11.76,294,54,5,129,79,27
0.84,11.88,297,54,5,132,79,27
0.85,11.92,298,54,5,132,80,27
0.86,12.24,306,56,5,134,82,29
0.87,12.40,310,55,5,134,85,31
0.88,12.68,317,55,5,139,86,32
0.89,12.92,323,56,4,140,91,32
0.90,13.00,325,56,4,142,91,32
0.91,13.20,330,58,4,142,92,34
0.92,13.52,338,59,4,146,95,34
0.93,13.92,348,59,4,151,97,37
0.94,14.28,357,60,4,155,102,36
0.95,14.84,371,65,4,161,103,38
0.96,15.56,389,72,4,169,106,38
0.97,16.20,405,74,4,170,117,40
0.98,17.00,425,78,3,179,123,42
0.99,18.28,457,81,2,191,131,52
1.00,80.00,2000,500,500,500,500,0
